,carat,cut,color,clarity,depth,table,price,x,y,z
40459,0.5,Ideal,H,SI1,62.5,57,1140,5.06,5.08,3.17
9200,0.95,Ideal,G,VS2,61.6,56,4549,6.34,6.3,3.89
19229,1.05,Ideal,D,VS2,61.7,59,7965,6.5,6.53,4.02
43500,0.47,Very Good,D,VS1,59.5,61,1422,5.06,5.03,3.02
22207,1.34,Ideal,H,VVS1,62.1,56,10255,7.05,7.11,4.4
14953,1,Very Good,H,VVS1,62.3,60,6022,6.28,6.36,3.94
5521,1,Premium,H,SI2,61.2,59,3850,6.38,6.42,3.92
21097,1.5,Premium,G,SI1,62.6,55,9265,7.31,7.27,4.56
40279,0.35,Very Good,F,SI2,61.2,55,494,4.56,4.57,2.79
27650,3.01,Good,H,SI2,57.6,64,18593,9.44,9.38,5.42
377,1.2,Fair,F,I1,64.6,56,2809,6.73,6.66,4.33
12096,1.09,Premium,D,SI2,61.2,60,5164,6.6,6.64,4.05
14654,1.2,Ideal,I,VS2,62.1,57,5914,6.78,6.71,4.19
30553,0.31,Very Good,D,VS2,62.3,55,734,4.32,4.35,2.7
22287,1.7,Premium,H,VVS2,61.4,58,10337,7.66,7.62,4.69
23296,1.5,Very Good,E,SI1,59.4,59,11325,7.42,7.49,4.43
28233,0.33,Ideal,F,VS2,61.9,57,666,4.4,4.42,2.73
48397,0.64,Very Good,D,SI1,62.2,55,1967,5.51,5.55,3.44
15863,1.2,Good,D,SI2,62.2,65,6344,6.75,6.7,4.18
38098,0.36,Ideal,E,VS2,61.9,56,1013,4.59,4.56,2.83
53888,0.52,Ideal,F,IF,61.5,57,2749,5.15,5.19,3.18
32409,0.41,Ideal,D,SI1,62.7,56,791,4.73,4.78,2.98
35020,0.4,Very Good,E,SI1,63.2,56,882,4.74,4.69,2.98
8804,1.05,Premium,F,SI2,62.6,59,4475,6.43,6.47,4.04
45733,0.56,Ideal,E,VS2,62.8,57,1699,5.21,5.23,3.28
22882,1.29,Ideal,F,VS1,62.3,54,10923,7,6.93,4.34
29782,0.3,Ideal,D,SI1,61,56,709,4.37,4.35,2.66
2753,0.9,Good,H,SI2,63.6,60,3250,6.06,6.11,3.87
21104,1.3,Ideal,D,SI1,62.2,56,9275,6.98,6.94,4.33
3186,0.73,Ideal,F,VVS1,61.9,56,3342,5.83,5.76,3.59
6413,0.74,Fair,D,VVS2,65.4,53,4040,5.73,5.71,3.74
24107,1.46,Premium,G,VS1,62.3,58,12261,7.25,7.2,4.5
45275,0.54,Premium,H,VVS2,60.6,60,1662,5.29,5.31,3.21
52418,0.82,Premium,G,SI2,60.7,61,2512,6.01,5.98,3.64
2835,0.78,Ideal,I,VVS2,62.4,56,3267,5.87,5.9,3.67
34138,0.32,Ideal,F,VVS1,61.6,55,854,4.42,4.44,2.73
43714,0.51,Ideal,E,SI1,60.8,57,1437,5.17,5.22,3.16
5099,0.91,Very Good,H,SI2,63.3,58,3756,6.11,6.06,3.85
28779,0.39,Good,F,VS2,64.3,55,681,4.56,4.64,2.96
35193,0.31,Ideal,G,IF,62.1,54,891,4.35,4.38,2.71
42648,0.4,Very Good,E,VVS1,61.2,61,1333,4.7,4.74,2.89
21013,1.3,Ideal,G,VS2,61.9,55,9225,7.04,7.01,4.35
50514,0.71,Ideal,I,VS2,62,54,2272,5.73,5.77,3.56
26653,2.28,Ideal,J,VS2,62.7,57,16450,8.43,8.36,5.26
29772,0.3,Ideal,I,VVS1,62.1,56,709,4.33,4.3,2.68
27644,2.02,Fair,H,VS2,64.5,57,18565,8,7.95,5.14
23564,1.54,Premium,G,SI1,60.5,61,11574,7.47,7.44,4.51
21688,1.09,Ideal,F,VS1,61.6,55,9786,6.62,6.67,4.09
6339,0.57,Very Good,D,IF,61.3,57,4032,5.33,5.41,3.29
44110,0.51,Ideal,G,VS2,61.8,55,1557,5.15,5.18,3.19
2853,0.8,Very Good,H,VS1,60.9,57,3273,5.98,6.02,3.65
18129,1.41,Very Good,H,SI2,58.5,57,7339,7.36,7.44,4.33
5928,0.92,Ideal,E,SI2,62.1,53,3941,6.25,6.22,3.87
52790,0.72,Ideal,F,VS2,61.9,54,2568,5.77,5.74,3.56
39971,0.5,Very Good,F,SI1,63.2,58,1106,5.08,5.04,3.2
52222,0.71,Premium,F,SI2,61.6,59,2482,5.75,5.71,3.53
41469,0.41,Ideal,D,VS1,61.3,54,1230,4.83,4.8,2.95
45224,0.52,Ideal,E,SI1,60.7,55,1656,5.23,5.22,3.18
16434,1.13,Ideal,E,SI1,62.2,55,6563,6.66,6.69,4.15
11210,1.15,Premium,H,SI2,62.9,56,4959,6.7,6.59,4.18
6321,1.11,Premium,I,SI2,61.2,61,4028,6.69,6.65,4.08
24042,0.38,Premium,I,VS2,61.8,59,633,4.61,4.64,2.86
6324,1.11,Very Good,H,SI2,61.5,59,4029,6.56,6.61,4.05
44342,0.5,Very Good,D,VS2,63.8,56,1580,5.05,5.08,3.23
47170,0.52,Premium,G,VVS2,61,58,1835,5.21,5.15,3.16
10929,0.91,Premium,F,VS2,62.2,58,4892,6.21,6.17,3.85
9382,0.32,Good,D,SI1,63.5,55,589,4.31,4.35,2.75
34023,0.4,Ideal,I,VVS1,61,56,849,4.79,4.81,2.93
49566,0.6,Ideal,G,VS1,61.6,56,2131,5.44,5.47,3.36
46499,0.4,Ideal,E,VVS1,61.7,55,1778,4.74,4.76,2.93
18573,1.51,Premium,I,SI2,59.7,59,7577,7.48,7.46,4.46
11704,0.34,Premium,H,VS1,61.6,59,596,4.49,4.54,2.78
34060,0.36,Ideal,D,SI1,61.2,57,851,4.63,4.59,2.82
12091,1.06,Very Good,G,SI1,63.4,58,5163,6.44,6.47,4.09
28844,0.41,Very Good,H,SI1,62.9,55,683,4.75,4.82,3.01
32687,0.31,Very Good,G,VS1,63.2,57,802,4.33,4.28,2.72
21748,1.52,Very Good,D,SI2,58.6,59,9817,7.43,7.48,4.37
38290,0.28,Very Good,E,VS1,60.2,58,487,4.23,4.27,2.56
28586,0.3,Good,G,VS2,63.9,55,675,4.28,4.27,2.73
20910,1.66,Very Good,G,SI2,58.5,62,9123,7.73,7.79,4.54
25064,1.83,Very Good,I,VS1,61.9,57,13587,7.85,7.91,4.88
18315,1.01,Very Good,D,VS2,63.1,58,7448,6.34,6.38,4.01
43253,0.38,Premium,D,VVS1,61.4,59,1400,4.63,4.66,2.85
42903,0.51,Good,E,SI1,57.4,62,1361,5.29,5.24,3.02
50662,0.31,Good,E,SI1,63.2,59,544,4.28,4.33,2.72
45499,0.58,Ideal,I,VVS1,62.1,56,1680,5.32,5.34,3.31
33614,0.31,Very Good,G,SI1,60.4,58,462,4.39,4.42,2.66
53587,0.8,Ideal,G,SI1,60.8,57,2699,6.02,6.05,3.67
48927,0.74,Very Good,F,SI2,63.2,58,2042,5.75,5.71,3.62
21351,1.59,Ideal,J,VS1,61.3,57,9494,7.5,7.55,4.61
4038,1,Good,H,SI2,63.9,58,3528,6.36,6.28,4.03
43953,0.31,Good,F,SI1,63.5,56,516,4.3,4.33,2.74
38476,0.42,Ideal,F,VS1,61.9,57,1031,4.79,4.81,2.97
5147,1.03,Fair,G,SI2,65.6,58,3765,6.3,6.26,4.12
22558,1.03,Ideal,D,VS1,61.7,57,10607,6.45,6.48,3.99
23506,1.51,Good,H,VS1,59.1,58,11512,7.48,7.52,4.43
3282,0.91,Premium,G,SI2,61.3,60,3363,6.2,6.17,3.79
28571,0.3,Premium,H,VS1,62,58,675,4.28,4.24,2.64
46134,0.54,Very Good,F,VS2,63,56.8,1745,5.18,5.22,3.28
18610,1.1,Ideal,F,VS2,61.4,56,7589,6.68,6.64,4.09
15671,1.18,Very Good,G,SI1,60.8,58,6286,6.81,6.85,4.15
36489,0.3,Ideal,E,IF,62,54,943,4.31,4.34,2.68
31465,0.4,Very Good,G,SI2,63.2,56,765,4.73,4.7,2.98
24136,1.5,Premium,G,VS2,62.5,59,12308,7.32,7.28,4.56
33306,0.33,Ideal,H,VVS2,61.3,56,827,4.43,4.47,2.73
16265,1.09,Premium,G,VS2,61.7,58,6504,6.6,6.53,4.05
32656,0.31,Premium,H,VVS2,62.4,59,802,4.35,4.31,2.7
474,0.72,Very Good,G,VS1,63.8,58,2819,5.64,5.68,3.61
19926,1.5,Ideal,H,SI2,62.4,58,8471,7.29,7.26,4.54
28183,0.37,Ideal,I,VS2,61.7,57,666,4.64,4.6,2.85
19348,1.56,Good,I,SI2,58.5,61,8048,7.58,7.63,4.45
36082,0.33,Ideal,G,IF,61,56,925,4.48,4.51,2.74
48920,0.7,Very Good,J,VVS1,63.3,55,2042,5.63,5.68,3.58
2245,0.7,Good,E,VS1,61.2,58,3148,5.66,5.72,3.48
44408,0.51,Ideal,G,VS2,61,56,1585,5.17,5.2,3.16
11027,0.91,Very Good,F,VS2,62.1,58,4917,6.19,6.24,3.86
15178,1.01,Premium,F,VS2,62.4,58,6097,6.43,6.36,3.99
30886,0.33,Ideal,E,SI1,62.5,55,743,4.45,4.42,2.77
2284,0.77,Very Good,D,SI1,58.6,59,3160,6,6.04,3.53
44231,0.59,Ideal,D,SI2,60.2,57,1572,5.47,5.42,3.28
4203,1.01,Premium,F,SI2,60.2,61,3563,6.49,6.43,3.89
12863,1.24,Ideal,J,VS2,61.8,58,5361,6.88,6.84,4.24
36716,0.41,Premium,E,SI2,61.7,58,953,4.8,4.76,2.95
43033,0.51,Very Good,F,SI1,61.8,57,1374,5.1,5.13,3.16
15251,0.9,Good,F,VVS1,64.2,56,6124,6.07,6.02,3.88
37311,0.31,Premium,F,IF,61.5,58,979,4.33,4.35,2.67
9277,1.01,Very Good,D,SI2,61.4,60,4564,6.33,6.38,3.9
7130,0.92,Very Good,H,VS2,63.4,57,4173,6.17,6.11,3.89
495,0.73,Ideal,F,SI1,62.1,55,2822,5.75,5.78,3.58
50622,0.26,Very Good,F,SI1,61.3,55,401,4.15,4.21,2.56
6123,1.02,Very Good,F,SI2,61.1,62,3984,6.49,6.54,3.98
43562,0.49,Good,F,VS1,58.9,60.5,1430,5.17,5.21,3.05
9138,1.1,Ideal,H,SI2,62.6,56,4537,6.57,6.65,4.14
14242,1.11,Good,F,SI1,63.1,56,5769,6.59,6.63,4.17
38499,0.42,Ideal,G,VVS2,62.2,56,1031,4.77,4.81,2.98
6658,1.13,Premium,J,SI2,59.7,59,4093,6.85,6.76,4.06
26860,1.75,Premium,G,VS2,61.5,59,16783,7.76,7.66,4.74
43752,0.58,Very Good,D,SI2,62.9,56,1438,5.31,5.35,3.35
21352,1.73,Premium,F,SI2,61.5,60,9494,7.75,7.66,4.74
43868,0.5,Ideal,H,VS1,60.5,57,1449,5.15,5.19,3.13
8653,1.07,Good,E,SI2,60,62,4453,6.57,6.62,3.96
36637,0.41,Very Good,D,SI1,63.4,55,947,4.72,4.68,2.98
3911,0.54,Ideal,D,VVS1,61.2,57,3494,5.25,5.27,3.22
46454,0.52,Ideal,D,VS2,61,57,1774,5.18,5.21,3.17
10379,0.9,Good,F,VS2,62.8,58,4778,6.04,6.09,3.81
23878,2.24,Premium,J,VS1,60.9,58,11970,8.46,8.41,5.14
39287,0.3,Ideal,H,VS2,62.1,56,491,4.32,4.34,2.69
52878,0.74,Very Good,F,SI1,61.5,58,2583,5.82,5.85,3.59
41663,0.4,Ideal,G,IF,63.1,54,1239,4.69,4.73,2.97
23438,1.23,Premium,F,VVS2,61.6,59,11430,6.8,6.9,4.22
30002,0.43,Ideal,H,SI1,62.4,56,716,4.81,4.83,3.01
43000,0.55,Ideal,D,SI2,61.3,57,1368,5.28,5.23,3.22
13040,0.36,Ideal,F,SI1,61.5,56,600,4.59,4.62,2.83
36142,0.33,Premium,E,VS2,61,60,928,4.46,4.43,2.71
52259,0.7,Ideal,I,VVS1,61.4,55,2489,5.7,5.76,3.52
33106,0.32,Ideal,E,VVS2,62.2,53,816,4.39,4.42,2.74
19916,1.27,Premium,D,SI1,62.5,58,8463,6.92,6.87,4.31
49023,0.57,Ideal,H,VVS1,60.9,56,2052,5.38,5.36,3.27
10185,1,Good,G,SI1,63.9,60,4737,6.22,6.27,3.99
46571,0.59,Very Good,F,VS2,61.6,56,1784,5.39,5.41,3.33
12309,1.13,Very Good,I,VS1,61.7,54,5220,6.71,6.74,4.15
46321,0.58,Ideal,H,VS2,61.2,56,1755,5.41,5.39,3.3
3167,0.75,Ideal,F,SI1,61.5,55,3336,5.88,5.9,3.62
13453,1.1,Very Good,I,VS2,61.8,58,5524,6.59,6.62,4.08
12037,0.34,Ideal,G,VS2,62.7,55,596,4.48,4.49,2.81
12512,1.01,Premium,H,VS2,61.9,57,5260,6.42,6.35,3.95
3128,0.9,Premium,H,SI2,59.2,60,3326,6.3,6.24,3.71
10837,1.09,Ideal,H,SI1,62.2,56,4871,6.59,6.56,4.09
8946,1.01,Very Good,G,SI2,63.7,57,4498,6.3,6.35,4.03
6512,1.12,Premium,J,SI1,62.7,55,4064,6.65,6.61,4.16
35657,0.31,Very Good,G,VVS2,63.3,57,907,4.31,4.28,2.72
39452,0.5,Good,E,SI2,63.7,55,1077,5.03,5.08,3.22
45470,0.5,Premium,E,VS2,62.9,60,1676,5.1,5.07,3.2
10010,1.01,Very Good,G,SI1,62.4,60,4707,6.34,6.39,3.97
6272,0.71,Very Good,D,VVS2,61.7,58,4014,5.71,5.74,3.53
3946,0.71,Ideal,D,SI1,61.8,56,3502,5.72,5.76,3.54
26482,2,Premium,I,VS2,58.6,62,16068,8.2,8.17,4.8
9616,1.06,Very Good,F,SI2,62.6,60,4634,6.54,6.44,4.06
1057,0.25,Premium,E,VS1,61.5,60,558,4.04,4.02,2.48
32026,0.31,Ideal,G,VVS1,61.6,54,778,4.36,4.38,2.69
44581,0.53,Ideal,E,VS2,62,55,1607,5.17,5.21,3.22
16454,1.35,Very Good,I,SI1,59.5,58,6573,7.28,7.17,4.3
51164,0.71,Premium,F,SI1,58.5,59,2345,5.87,5.82,3.42
45729,0.55,Premium,E,SI1,60.8,58,1698,5.32,5.29,3.22
4372,0.73,Very Good,G,VVS1,62.9,59,3606,5.7,5.78,3.61
37914,0.41,Premium,D,VS2,62.4,60,1007,4.71,4.75,2.95
15709,0.24,Very Good,F,VVS1,62.2,57,608,3.97,4,2.48
46971,0.32,Ideal,I,VS1,60.9,56.7,529,4.41,4.44,2.69
5389,0.3,Ideal,G,SI1,62.8,56,574,4.32,4.28,2.7
18695,0.29,Ideal,E,VS1,60.6,55,619,4.33,4.35,2.63
26333,1.63,Ideal,G,VS1,61.7,55,15840,7.6,7.56,4.68
37241,0.52,Premium,H,SI2,60.9,61,975,5.15,5.1,3.12
22707,0.35,Premium,I,VS2,62.9,57,630,4.53,4.5,2.84
53736,0.7,Ideal,G,VS2,62.3,57,2723,5.65,5.68,3.53
48006,0.52,Ideal,D,VS2,62.6,55,1919,5.14,5.12,3.21
2165,0.7,Very Good,D,VS2,61.2,60,3131,5.73,5.77,3.52
51032,0.7,Premium,G,VS1,62.9,59,2329,5.63,5.56,3.52
3237,0.9,Good,I,VS2,58.5,66,3353,6.23,6.25,3.65
29891,0.3,Ideal,E,VS1,60.7,57,710,4.31,4.36,2.63
3687,0.9,Very Good,I,VS1,62.6,58,3447,6.14,6.17,3.85
26341,0.32,Ideal,H,VVS2,61.7,56,645,4.37,4.42,2.71
38062,0.38,Ideal,F,VS1,61.1,56,1013,4.69,4.71,2.87
15332,1.51,Fair,I,SI2,66,57,6156,7.14,7,4.7
53260,0.72,Good,F,SI1,63.4,58,2647,5.66,5.69,3.6
17688,1.06,Premium,G,VS1,62.8,56,7130,6.52,6.47,4.08
27095,2.52,Ideal,I,SI1,61.5,56,17231,8.76,8.69,5.37
44724,0.48,Ideal,G,VS1,61.9,55,1615,5.02,5.06,3.12
48473,0.59,Ideal,D,VS2,61.4,57,1978,5.39,5.4,3.31
24425,2.06,Premium,H,SI2,62.6,58,12677,8.06,8.03,5.04
6743,0.33,Ideal,G,VS2,62.2,56,579,4.43,4.44,2.76
48018,0.5,Ideal,H,VS2,62.3,55,1921,5.09,5.12,3.18
44507,0.52,Ideal,F,VS2,62.5,54,1600,5.14,5.17,3.22
20044,0.4,Ideal,H,SI2,62.6,55,625,4.73,4.76,2.97
24618,1.67,Ideal,H,VS2,62.6,56,12945,7.55,7.57,4.73
3700,0.9,Good,E,SI1,63.8,56,3449,6.17,6.09,3.91
27658,2.42,Premium,J,VS2,61.3,59,18615,8.61,8.58,5.27
38613,0.31,Premium,J,VS2,62.4,60,488,4.33,4.29,2.69
6662,0.7,Very Good,D,VS1,60.3,58,4095,5.76,5.79,3.48
18340,1.29,Ideal,G,SI1,60.9,59,7463,6.99,7.04,4.27
28081,0.4,Ideal,J,VVS2,61.8,55,662,4.76,4.79,2.95
26501,2.1,Premium,G,SI2,60.9,57.4,16112,8.17,8.27,5
21913,1.32,Ideal,G,VS1,62.6,56,9979,7.05,7,4.4
35098,0.3,Ideal,F,IF,61.8,54,886,4.34,4.37,2.69
28676,0.24,Ideal,F,VVS1,62,56,678,3.99,4.01,2.48
18637,1.2,Good,G,VS2,63.3,58,7603,6.66,6.74,4.24
48255,0.72,Very Good,H,SI2,61,56,1953,5.75,5.8,3.52
30493,0.31,Premium,D,SI1,61.4,58,732,4.39,4.34,2.68
37191,0.34,Ideal,E,VVS1,61.4,56,973,4.51,4.54,2.78
46324,0.69,Very Good,H,SI1,62.5,57.6,1757,5.66,5.72,3.55
24575,1.51,Premium,G,VS2,62.7,58,12872,7.31,7.2,4.55
8472,1.01,Premium,F,SI2,62.2,59,4416,6.41,6.45,4
53100,0.71,Ideal,I,VS2,61.8,55,2614,5.7,5.73,3.53
33903,0.3,Premium,E,VS2,62.6,58,844,4.3,4.26,2.68
19945,1.2,Very Good,G,VS2,63.2,56,8491,6.82,6.75,4.29
26140,2.3,Ideal,G,SI2,61.6,57,15433,8.47,8.41,5.2
44911,0.53,Ideal,D,SI1,62,55,1631,5.22,5.24,3.24
1018,0.73,Ideal,E,VS2,61.4,55,2902,5.82,5.8,3.57
43421,0.51,Very Good,H,VS2,60.8,58,1414,5.12,5.17,3.13
30559,0.31,Premium,D,VS2,61.2,59,734,4.32,4.37,2.66
15356,1.28,Premium,I,SI1,60,60,6164,7.08,6.99,4.22
16019,1.02,Ideal,G,VS2,62.5,58,6410,6.36,6.44,4
7075,0.33,Premium,G,VS2,60.8,58,579,4.45,4.47,2.71
53774,0.7,Ideal,D,SI1,62.5,55,2726,5.68,5.72,3.56
40629,0.41,Premium,E,VS1,62.2,57,1153,4.78,4.74,2.96
2715,0.33,Ideal,H,SI1,61.7,55,564,4.43,4.46,2.74
50062,0.71,Very Good,I,VS1,63.1,57,2202,5.68,5.58,3.55
4117,0.79,Premium,G,SI1,61.2,56,3539,6,5.96,3.66
49545,0.71,Premium,I,VS2,62.7,59,2127,5.66,5.69,3.56
15870,1,Ideal,G,VS1,62.2,56,6349,6.35,6.41,3.97
28405,0.35,Very Good,D,SI2,63.3,55,669,4.49,4.45,2.83
11914,1.07,Premium,H,SI1,60,60,5123,6.65,6.61,3.98
41575,0.55,Ideal,I,VS1,62.2,55,1238,5.26,5.29,3.28
32470,0.45,Fair,F,SI1,66.8,59,794,4.79,4.63,3.16
44285,0.52,Ideal,G,VS2,62,55,1577,5.19,5.13,3.2
37786,0.57,Very Good,I,SI2,62.1,57,1000,5.29,5.33,3.3
28027,0.3,Very Good,E,VS2,62.4,57,658,4.24,4.26,2.65
14484,1.26,Very Good,H,VS2,63.1,58,5849,6.91,6.81,4.34
15196,1.02,Very Good,I,VS2,61.5,57,6104,6.4,6.44,3.95
23901,1.5,Ideal,G,SI1,61,57,12009,7.38,7.41,4.51
16995,1.01,Premium,E,VS2,62.7,57,6787,6.36,6.31,3.97
30224,0.33,Ideal,E,VS2,61.3,55,723,4.46,4.48,2.74
31061,0.38,Good,F,VS2,62.7,58,752,4.56,4.6,2.87
50533,0.81,Premium,G,SI2,59,57,2274,6.14,6.1,3.61
8709,0.28,Ideal,H,VVS1,62,55,586,4.17,4.22,2.6
22444,1.6,Ideal,F,SI2,61.7,56,10472,7.5,7.53,4.64
29104,0.34,Ideal,H,VS2,62.2,56,689,4.53,4.48,2.8
8217,1.02,Premium,G,SI2,62.5,59,4370,6.42,6.37,4
31653,0.35,Premium,E,VS2,60.7,60,767,4.55,4.58,2.77
24597,2.28,Very Good,H,SI2,63.3,54,12907,8.36,8.29,5.27
3964,1.01,Premium,F,SI2,61.8,54,3507,6.47,6.42,3.98
53372,0.61,Ideal,G,IF,62.3,56,2659,5.42,5.46,3.39
1941,0.9,Premium,E,SI2,59.5,61,3084,6.3,6.24,3.73
41988,0.43,Premium,G,VVS1,60.3,58,1264,4.91,4.87,2.95
44803,0.5,Very Good,E,VS2,61.3,58,1624,5.06,5.12,3.12
11126,1,Ideal,F,SI1,62.4,55,4939,6.45,6.37,4
10040,0.34,Premium,J,VS2,62.3,60,417,4.46,4.49,2.79
40697,0.4,Ideal,E,VVS2,61.8,56,1158,4.74,4.77,2.94
7359,1.1,Very Good,J,SI2,61.9,55,4217,6.59,6.63,4.09
26566,2.02,Ideal,F,SI2,62.2,57,16256,8.07,8.03,5.01
34899,0.33,Ideal,F,VVS1,62.4,54,880,4.44,4.47,2.78
48438,0.51,Ideal,G,VVS2,61.9,55,1974,5.19,5.15,3.2
33075,0.4,Good,D,VS2,64.4,56,814,4.62,4.67,2.99
38175,0.32,Very Good,D,VVS1,61.6,54,1015,4.4,4.43,2.72
4413,1.01,Very Good,I,SI1,58.8,58,3610,6.52,6.57,3.85
12982,1.11,Premium,H,VS2,60.9,57,5395,6.77,6.69,4.1
31742,0.41,Premium,G,VS2,60.7,59,772,4.8,4.85,2.93
51766,0.7,Very Good,F,SI1,61.1,57,2409,5.7,5.73,3.49
42779,0.48,Very Good,E,SI1,62.7,58.5,1349,4.99,5.01,3.14
15649,1.07,Very Good,G,VS2,62.3,57,6274,6.56,6.47,4.06
51046,0.73,Very Good,G,SI1,59.8,61,2330,5.83,5.85,3.49
13986,1.16,Very Good,D,SI1,61.8,58,5695,6.72,6.78,4.17
22860,1.01,Very Good,E,VVS1,63.1,57,10891,6.39,6.36,4.02
51896,0.73,Ideal,E,SI2,62.8,55,2431,5.73,5.76,3.61
8506,1.35,Ideal,J,SI1,61,55,4423,7.17,7.09,4.35
19056,1.01,Premium,E,VS1,62.9,60,7839,6.36,6.32,3.99
52901,0.73,Ideal,G,VS2,62.5,56,2586,5.78,5.74,3.6
37614,0.24,Very Good,E,VVS1,61.7,58,485,3.94,4,2.45
40325,0.39,Premium,E,VVS2,59.5,58,1126,4.77,4.74,2.83
3524,0.71,Very Good,D,VS1,63.2,57,3406,5.63,5.67,3.57
43322,0.53,Fair,F,VS2,65.5,58,1402,5.09,5.03,3.31
16373,0.33,Very Good,D,SI1,62.8,56,608,4.39,4.43,2.77
35252,0.3,Very Good,G,IF,62.8,57,895,4.27,4.3,2.69
24916,1.75,Premium,D,SI2,60.6,60,13363,7.74,7.78,4.7
27589,1.7,Premium,F,VS1,60.6,58,18430,7.68,7.71,4.66
40398,0.34,Ideal,D,VVS1,61.7,56,1133,4.46,4.48,2.76
45571,0.52,Very Good,E,VS2,62.5,56,1689,5.15,5.18,3.23
26544,1.75,Premium,G,VS2,62.8,59,16220,7.62,7.53,4.76
47195,0.46,Very Good,F,VVS1,62.3,56,1838,4.94,4.98,3.09
24044,0.38,Good,H,SI1,63.3,57,633,4.58,4.62,2.91
11435,1.09,Premium,H,VS2,61.2,58,5005,6.63,6.58,4.03
14435,1.01,Ideal,H,SI2,59.1,59,5828,6.58,6.61,3.9
33651,0.38,Ideal,H,SI1,61.2,56,834,4.68,4.63,2.85
15894,1.01,Very Good,G,VVS2,61.3,61,6354,6.32,6.47,3.92
49053,0.73,Very Good,G,SI2,62.2,58,2057,5.71,5.77,3.57
12316,1.11,Good,I,VVS2,60.1,64,5221,6.73,6.62,4.02
14739,1,Ideal,E,SI1,62.9,56,5935,6.33,6.38,4
683,1.2,Very Good,H,I1,63.1,60,2850,6.75,6.67,4.23
29277,0.31,Premium,I,VVS2,61.6,59,698,4.33,4.31,2.66
685,0.66,Ideal,D,VS1,62.1,56,2851,5.54,5.57,3.45
19843,1.01,Very Good,E,VS1,60.4,60,8403,6.43,6.48,3.9
29417,0.38,Very Good,H,VS2,62.8,56,700,4.59,4.62,2.89
48702,0.62,Premium,F,VS2,62.3,60,2009,5.46,5.39,3.38
42096,0.44,Premium,E,VVS2,60,59,1274,4.95,4.99,2.98
10557,1.06,Premium,G,SI1,59.6,58,4815,6.67,6.73,3.99
32271,0.3,Ideal,E,VVS2,61.9,57,789,4.28,4.32,2.66
27641,2.09,Premium,H,SI1,61.1,56,18559,8.3,8.23,5.05
37583,0.32,Ideal,F,VVS1,61.4,56,990,4.42,4.38,2.7
17906,1.26,Ideal,G,SI1,61.3,57,7230,6.94,6.99,4.27
53899,0.65,Very Good,D,VS1,60.8,57.2,2752,5.55,5.63,3.4
40913,0.42,Ideal,G,VVS1,61.6,55,1179,4.82,4.85,2.98
47743,0.5,Very Good,F,VVS2,61.2,57,1891,5.1,5.13,3.13
39428,0.41,Premium,F,VS1,62.6,58,1076,4.75,4.74,2.97
34629,0.31,Ideal,E,VS2,60.8,54,872,4.4,4.39,2.67
13653,1.16,Ideal,I,VS2,60.8,56,5587,6.85,6.81,4.15
11013,1.01,Ideal,D,SI2,61.6,57,4916,6.42,6.46,3.97
48036,0.56,Ideal,D,VS1,61.7,56,1924,5.3,5.33,3.28
52417,0.7,Good,D,SI1,63.6,60,2512,5.59,5.51,3.51
21612,1.04,Very Good,E,VVS2,62.8,58,9705,6.42,6.45,4.04
30666,0.3,Premium,F,VVS2,61,59,737,4.3,4.33,2.63
36260,0.43,Ideal,G,SI2,61.3,56,935,4.89,4.87,2.99
34226,0.4,Good,I,VS2,63.8,54,855,4.72,4.68,3
34733,0.37,Premium,E,VS1,60.4,58,876,4.61,4.66,2.8
29532,0.37,Ideal,F,VS1,61,55,703,4.66,4.69,2.85
42181,0.5,Premium,G,SI1,62.9,59,1286,5.09,5.06,3.19
33352,0.41,Ideal,G,VS2,62.7,55,827,4.75,4.79,2.99
39567,0.44,Very Good,F,VS1,61.2,61,1081,4.83,4.88,2.97
16813,1.06,Very Good,G,VS1,60.5,56,6707,6.65,6.6,4.01
16639,1.1,Premium,G,VS2,60.2,58,6653,6.75,6.71,4.05
14256,1,Ideal,D,SI1,60.6,56,5775,6.5,6.54,3.95
19574,1.51,Ideal,J,VS2,61.5,56,8203,7.37,7.4,4.54
30040,0.32,Ideal,D,VS2,61.3,56,719,4.4,4.44,2.71
16142,1.3,Ideal,I,SI1,62.3,58,6451,6.94,7,4.34
50014,0.7,Ideal,F,SI1,61.3,57,2196,5.76,5.79,3.54
3697,0.72,Very Good,G,VVS2,60.1,60,3449,5.79,5.82,3.49
38512,0.44,Ideal,G,SI1,61.7,55,1032,4.88,4.91,3.02
12170,1.12,Premium,G,SI1,59.5,62,5181,6.81,6.76,4.04
14420,1.2,Premium,H,SI1,59.3,60,5822,7,6.92,4.13
36523,0.42,Ideal,G,SI1,62.5,56,945,4.83,4.8,3.01
28252,0.33,Ideal,G,VS1,61.4,55,666,4.44,4.48,2.74
5077,0.93,Fair,H,SI1,64.6,58,3750,6.13,6.07,3.94
37183,0.48,Premium,H,SI2,58.5,59,972,5.16,5.13,3.01
11864,1.08,Ideal,F,SI1,62.9,57,5106,6.54,6.53,4.11
45688,0.71,Premium,I,SI2,62.1,58,1696,5.7,5.67,3.53
21116,1.04,Ideal,F,VVS2,62.2,56,9281,6.53,6.46,4.04
10480,1.09,Premium,G,SI2,61.1,59,4794,6.69,6.63,4.07
51637,0.31,Premium,H,VS1,59.7,58,544,4.41,4.43,2.64
